id;date;details;status;payment_method;payment_date;payment_amount
1;2020-05-24T05:53:24;RAM Focused;PAID;CASH_ON_DELIVERY;2020-05-24T14:15:31;64379
2;2020-05-24T02:43:30;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-05-24T07:53:48;17323
3;2020-05-24T07:10:55;Incredible Baby;CANCELLED;PAYPAL;2020-05-24T10:42:36;11017
4;2020-05-24T04:40:50;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-05-24T04:44:58;51438
5;2020-05-23T23:20:58;function;PAID;PAYPAL;2020-05-24T15:55:03;32278
6;2020-05-24T00:20:46;action-items;CANCELLED;CASH_ON_DELIVERY;2020-05-24T14:07:58;5232
7;2020-05-24T17:07:29;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-05-24T10:44:51;62169
8;2020-05-24T03:02:33;Toys;ISSUED;PAYPAL;2020-05-24T13:40:30;10756
9;2020-05-24T04:32:58;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-05-24T18:16:31;58055
10;2020-05-24T03:10:43;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-05-24T15:36:54;94075
