id;placed_date;status;code
1;2020-05-24T13:15:24;COMPLETED;Georgia calculate withdrawal
2;2020-05-24T00:11:54;COMPLETED;compress Steel out-of-the-box
3;2020-05-24T01:43:06;PENDING;Concrete
4;2020-05-24T15:09:01;CANCELLED;Investment Account
5;2020-05-24T02:25:51;PENDING;United States of America
6;2020-05-24T16:37:55;CANCELLED;IB Industrial Credit Card Account
7;2020-05-24T19:44:20;CANCELLED;Cotton Egyptian Pound
8;2020-05-24T04:40:24;COMPLETED;Home Loan Account
9;2020-05-24T13:34:40;COMPLETED;Human
10;2020-05-23T23:43:18;CANCELLED;payment
